Date,Open,High,Low,Close,Volume
2015-12-18,202.77,202.93,199.83,200.02,251393535
2015-12-21,201.41,201.88,200.09,201.67,99094290
2015-12-22,202.72,203.85,201.55,203.5,111026246
2015-12-23,204.69,206.07,204.58,206.02,110987228
2015-12-24,205.72,206.33,205.42,205.68,48542150
2015-12-28,204.86,205.26,203.94,205.21,65899939
2015-12-29,206.51,207.79,206.47,207.4,92640672
2015-12-30,207.11,207.21,205.76,205.93,63317679
2015-12-31,205.13,205.89,203.87,203.87,114877859
2016-01-04,200.49,201.03,198.59,201.02,218722198
2016-01-05,201.4,201.9,200.05,201.36,110845849
2016-01-06,198.34,200.06,197.6,198.82,152112604
2016-01-07,195.33,197.44,193.59,194.05,213436073
2016-01-08,195.19,195.85,191.58,191.92,209817228
2016-01-11,193.01,193.41,189.82,192.11,187941323
2016-01-12,193.82,194.55,191.14,193.66,172330490
2016-01-13,194.45,194.86,188.38,188.83,218780219
2016-01-14,189.55,193.26,187.66,191.93,237705564
2016-01-15,186.77,188.76,185.52,187.81,317904944
2016-01-19,189.96,190.11,186.2,188.06,192723808
2016-01-20,185.03,187.5,181.02,185.65,283288870
2016-01-21,186.21,188.87,184.64,186.69,191085235
2016-01-22,189.78,190.76,188.88,190.52,166679398
2016-01-25,189.92,190.15,187.41,187.64,127112162
2016-01-26,188.42,190.53,188.02,190.2,138004751
2016-01-27,189.58,191.56,187.06,188.13,184186327
2016-01-28,189.96,190.2,187.16,189.11,142851654
2016-01-29,190.02,193.88,189.88,193.72,204034161
2016-02-01,192.53,194.58,191.84,193.65,133582159
2016-02-02,191.96,191.97,189.54,190.16,175500039
2016-02-03,191.41,191.78,187.1,191.3,204060878
2016-02-04,190.71,192.75,189.96,191.6,137261874
